,DPD_TNF,DPD_TB
B6_2ng_B6_NT1,-36.12459639030694,12.483645648426968
B6_10ng_B6_NT1,-2.9703114597795803,12.478411778623851
B6_50ng_B6_NT1,35.08052716974088,12.490171012960113
1h_2ng_1h_NT1,-34.644971052488636,-12.486331447182355
1h_10ng_1h_NT1,12.688983050061971,-12.479562511081218
1h_50ng_1h_NT1,34.644973941594294,-12.48632865973083
UNTREAT1,-40.128066190060544,-0.6697185875338647
UNTREAT2,-43.41941296461168,-0.43499998424712316
UNTREAT3,-44.57447756774844,0.13342965606032436
T_1,-42.01641586207335,0.8318262442022485
T_2,-38.835770277120005,0.03678928869696452
T_3,-41.373402137475985,0.7059352621965272
M_1,-20.16920959719866,-4.1244708848276925
M_2,-22.00097563132579,-4.11547331024516
M_3,-22.511867444475666,-4.233925932924456
TM_1,-40.04360726399138,0.2959141234285254
TM_2,-39.08431718319762,1.1729086649194898
TM_3,-40.36480070668091,0.5244489764675534
TMR_1,-35.54941759661139,3.2552269478415568
TMR_2,-37.248367388604194,3.3726673826069224
TMR_3,-36.24475424872572,3.7216947219061938
TMI_1,-38.527157612358806,0.3614902232075867
TMI_2,-39.440771274812725,0.04345877516738006
TMI_3,-39.80150829421279,0.9110475667022165
TMRI_1,-38.314480978704545,3.0031529830184
TMRI_2,-38.00724916470297,3.0712663194992342
TMRI_3,-38.59129068940212,3.382289874330262
TM_b_1,-41.57333202601302,1.5209899218176415
TM_b_2,-39.05938931143565,0.2943402438157251
TM_b_3,-46.3306621901618,3.399051000968876
TMR_b_1,-33.64537504406913,2.7130610862199123
TMR_b_2,-35.62229569951274,2.315935139324981
TMR_b_3,-32.8570911729755,3.0223384549131924
TMS_1,-39.75633591371719,0.28283416125091787
TMS_2,-39.98788528342392,1.031351835413758
TMS_3,-40.32618423045321,1.3939999706989288
TMRS_1,-32.47383827982384,2.0613956070918578
TMRS_2,-34.60772235725839,3.142015734414408
TMRS_3,-34.72684830623594,2.337259108599988
DMSO,-42.555524068128555,-0.31728996518526487
