"gene"	"B6_2ng_B6_NT1"	"B6_10ng_B6_NT1"	"B6_10ng_B6_2ng"	"B6_50ng_B6_NT1"	"B6_50ng_B6_2ng"	"B6_50ng_B6_10ng"	"1h_NT1_B6_NT1"	"1h_NT1_B6_2ng"	"1h_NT1_B6_10ng"	"1h_NT1_B6_50ng"	"1h_2ng_B6_NT1"	"1h_2ng_B6_2ng"	"1h_2ng_B6_10ng"	"1h_2ng_B6_50ng"	"1h_2ng_1h_NT1"	"1h_10ng_B6_NT1"	"1h_10ng_B6_2ng"	"1h_10ng_B6_10ng"	"1h_10ng_B6_50ng"	"1h_10ng_1h_NT1"	"1h_10ng_1h_2ng"	"1h_50ng_B6_NT1"	"1h_50ng_B6_2ng"	"1h_50ng_B6_10ng"	"1h_50ng_B6_50ng"	"1h_50ng_1h_NT1"	"1h_50ng_1h_2ng"	"1h_50ng_1h_10ng"
"Gsta3"	" 2.798340"	" 3.424700"	NA	" 3.255930"	NA	NA	NA	"-3.467730"	" -4.094090"	" -3.925320"	" 1.978090"	"-0.820254"	"-1.446610"	" -1.277850"	" 2.647470"	" 2.532330"	NA	"-0.892371"	NA	" 3.201720"	NA	" 1.867910"	"-0.930432"	"-1.556790"	"-1.388020"	" 2.537300"	NA	NA
"Cd28"	"-1.389800"	"-3.528470"	"-2.138670"	"-4.290400"	"-2.900600"	NA	NA	" 1.155880"	"  3.294540"	"  4.056480"	"-1.755710"	NA	" 1.772760"	"  2.534690"	"-1.521790"	"-4.250760"	" -2.860950"	NA	NA	"-4.016830"	"-2.495050"	"-0.927000"	NA	" 2.601470"	" 3.363400"	NA	NA	" 3.323760"
"Stk36"	"-2.133620"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 2.418500"	NA	NA	NA	NA	NA
"Ramp1"	"-1.499170"	"-3.767240"	"-2.268070"	"-5.367170"	"-3.868000"	"-1.599930"	"-1.444430"	NA	"  2.322800"	"  3.922740"	"-3.594810"	"-2.095640"	NA	"  1.772360"	"-2.150380"	"-6.169850"	" -4.670680"	"-2.402610"	NA	"-4.725410"	"-2.575030"	"-1.024610"	NA	" 2.742630"	" 4.342560"	NA	" 2.570200"	" 5.145230"
"Serpinb12"	" 2.266460"	" 2.575710"	NA	" 2.215400"	NA	NA	NA	NA	" -1.704500"	NA	" 2.500800"	NA	NA	NA	NA	" 3.130700"	NA	NA	NA	" 2.259490"	NA	NA	NA	NA	NA	NA	NA	"-1.553370"
"Tnfsf4"	" 2.607320"	" 3.872240"	" 1.264920"	" 6.550920"	" 3.943600"	" 2.678680"	NA	"-3.408910"	" -4.673830"	" -7.352510"	" 1.911430"	NA	"-1.960810"	" -4.639490"	" 2.713020"	" 4.754710"	"  2.147390"	NA	"-1.796210"	" 5.556300"	" 2.843280"	" 5.486490"	" 2.879180"	" 1.614250"	"-1.064430"	" 6.288090"	" 3.575060"	NA
"Fcgr4"	"-1.050890"	NA	" 1.169240"	NA	" 1.196250"	NA	NA	NA	NA	NA	"-1.316990"	NA	"-1.435330"	" -1.462350"	"-0.875810"	" 1.213620"	"  2.264510"	" 1.095270"	" 1.068260"	" 1.654800"	" 2.530610"	NA	" 1.781910"	NA	NA	" 1.172200"	" 2.048010"	NA
"Slamf9"	" 0.835011"	" 2.352340"	" 1.517330"	" 3.502040"	" 2.667030"	" 1.149700"	NA	NA	" -1.645980"	" -2.795680"	" 1.587810"	NA	"-0.764537"	" -1.914240"	" 0.881447"	" 3.512820"	"  2.677810"	" 1.160480"	NA	" 2.806460"	" 1.925010"	" 3.699220"	" 2.864200"	" 1.346870"	NA	" 2.992860"	" 2.111410"	NA
"Tagln2"	" 0.880628"	" 1.162980"	NA	" 1.068210"	NA	NA	NA	NA	NA	NA	" 1.154760"	NA	NA	NA	NA	" 1.215270"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A330023F24Rik,Mir29b-2,Mir29c"	" 7.902280"	NA	"-8.539100"	NA	NA	NA	" 6.196920"	NA	"  6.833730"	NA	NA	"-9.333990"	NA	NA	"-7.628620"	NA	"-11.388500"	NA	NA	"-9.683150"	NA	NA	"-8.533010"	NA	NA	"-6.827650"	NA	NA
"Eya1"	"-0.892939"	"-1.244400"	NA	"-0.964079"	NA	NA	NA	" 0.902960"	"  1.254420"	"  0.974099"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.053590"	NA	NA	NA	NA
"Mfsd6"	"-0.784205"	"-2.748810"	"-1.964600"	"-3.288740"	"-2.504540"	NA	NA	NA	"  2.608430"	"  3.148360"	"-0.864296"	NA	" 1.884510"	"  2.424450"	NA	"-3.411750"	" -2.627550"	NA	NA	"-3.271370"	"-2.547460"	"-0.938193"	NA	" 1.810610"	" 2.350550"	NA	NA	" 2.473560"
"Bard1"	" 1.163740"	NA	NA	NA	"-1.896860"	NA	" 1.343000"	NA	"  1.008270"	"  2.076120"	" 2.123640"	" 0.959901"	" 1.788920"	"  2.856760"	NA	NA	NA	NA	" 1.509000"	NA	"-1.347760"	NA	"-1.172810"	NA	NA	"-1.352070"	"-2.132710"	NA
"Tns1"	"-0.867118"	"-2.942130"	"-2.075020"	"-4.454370"	"-3.587250"	"-1.512240"	NA	" 0.893514"	"  2.968530"	"  4.480770"	NA	NA	" 2.331900"	"  3.844140"	NA	"-2.612870"	" -1.745750"	NA	" 1.841500"	"-2.639270"	"-2.002640"	NA	NA	" 2.111890"	" 3.624130"	NA	NA	" 1.782630"
"Serpine2"	"-1.564890"	"-1.582120"	NA	"-1.702450"	NA	NA	NA	" 1.187560"	"  1.204790"	"  1.325120"	"-1.885550"	NA	NA	NA	"-1.508210"	"-2.239580"	NA	NA	NA	"-1.862240"	NA	NA	NA	NA	NA	NA	NA	NA
