,DPD_TNF,DPD_TB
U1_B6_NT_1,-17.711876227532347,-1.1884217447998227
U2_B6_NT_2,-18.35286202098886,-0.17258049731291747
U3_B6_2ng_1,-16.209166472840025,4.235965112133341
U4_B6_2ng_2,-16.596353769624987,11.75176641412061
U5_B6_10ng_1,-4.868285230292317,16.424502442324897
U6_B6_10ng_2,-15.934486939442557,4.237355938470797
U7_B6_50ng_1,40.276062437147985,4.237356769575625
U8_B6_50ng_2,111.79267503158826,4.570278162661572
V1_1h_NT_1,-16.695109015150862,-1.6500400698916637
V2_1h_NT_2,-19.369629233370347,0.2890378277789247
V3_1h_2ng_1,-12.663865420990989,-4.2364690219495085
V4_1h_2ng_2,-15.719914206855226,-4.237334013465415
V5_1h_10ng_1,4.368855988170605,-4.238239596534193
V6_1h_10ng_2,3.5235721721520257,-5.375709808160699
V7_1h_50ng_1,122.39987771179662,-36.765921981835646
V8_1h_50ng_2,16.69510743387844,-9.128170488535162
A1_NT_1,-19.077013080049262,0.6745749211583116
A2_NT_2,-17.457955231341344,-1.1198626713892437
A3_NT_3,-17.562139061391207,-1.5962156129381775
B1_TNFA_1,-4.514202182628939,-5.016552304823858
B2_TNFA_2,-6.824473893302455,-4.234529983390095
B3_TNFA_3,-4.4945456380464925,-4.754769567291304
C1_IBX001_1,-16.200824289743196,-1.6090261995676625
C2_IBX001_2,-18.354006770295747,1.1807192100207322
C3_IBX001_3,-16.81575770793217,-0.700702809140985
D1_IBX002_1,-14.147289820480294,3.2406552095182466
D2_IBX002_2,-11.635969128223513,1.8114396239379584
D3_IBX002_3,-17.406461154855787,0.29951715682896296
E1_IBX003_1,-15.840440654471763,-0.08168234772612104
E2_IBX003_2,-16.53426469115174,-1.8153533643739634
E3_IBX003_3,-16.648504021654347,-1.8085827882037506
F1_IBX004_1,-16.48898730739456,-0.9560553567140655
F2_IBX004_2,-18.300350915131812,0.9929386718106162
F3_IBX004_3,-18.05980088860781,0.3665859351833851
G1_IBX005_1,-19.364678378902752,1.373819028098577
G2_IBX005_2,-14.848711522327129,0.18370031500288708
G3_IBX005_3,-14.120196186770496,-0.7328922987120201
H1_IBX006_1,-17.876742372127314,1.1494586919312362
H2_IBX006_2,-17.141412265995513,-0.9956084221780999
H3_IBX006_3,-16.994683286861125,-0.461825453536862
I1_IBX007_1,-7.196592191100617,-0.11298888666177298
I2_IBX007_2,-11.553303748824163,1.6299487608984666
I3_IBX007_3,-9.796414704855398,-0.9411503078303554
G1_IBX008_1,-6.170470698341703,-1.2347148152889726
G2_IBX008_2,-3.83833813110542,-1.2884735317570666
G3_IBX008_3,-6.691955588903459,-4.546312693324747
K1_IBX009_1,-4.324295309932348,-0.22882716363547995
K2_IBX009_2,-5.645732214714313,-0.7513953713596639
K3_IBX009_3,-4.939289139269139,-1.7088875424565169
L1_IBX0010_1,-18.210770578943425,-1.1431876410928865
L2_IBX0010_2,-17.339756473674576,-2.73196607344184
L3_IBX0010_3,-18.299162952580303,-1.0078820971919584
M1_IBX0011_1,-12.85398514971828,-3.746724029742076
M2_IBX0011_2,-17.600771567786,-0.335399714328942
M3_IBX0011_3,-16.096807797047834,-1.9501607353378767
N1_IBX0012_1,-18.904530223322663,-0.21044728383888756
N2_IBX0012_2,-17.440693602488537,-2.0200314968720825
N3_IBX0012_3,-17.892850220251432,0.09736995439727059
O1_IBX0013_1,-10.78754856114253,-3.569755816594781
O2_IBX0013_2,-19.170557569419106,1.3077023600991398
O3_IBX0013_3,-11.349644863853495,-1.438829848058337
P1_IBX0014_dose1_1,-15.166815521919226,8.503566582076616
P2_IBX0014_dose1_2,-16.11081444947098,3.1400967600283556
P3_IBX0014_dose1_3,-19.10021815786196,1.8734626404089458
Q1_IBX0014_dose2_1,-16.690795699277487,13.522827735039392
Q2_IBX0014_dose2_2,-17.184742044192376,14.230082804698206
Q3_IBX0014_dose2_3,-16.679571568202984,11.774517484902898
R1_IBX0015_1,-17.596768903775942,-0.7676723640040555
R2_IBX0015_2,-17.3471500884713,-0.7388711153898488
R3_IBX0015_3,-17.36584277442715,-1.2015197906362887
S1_IBX0016_1,-17.944353548174213,2.085788490376472
S2_IBX0016_2,-18.96871869953463,-0.5325757696214835
S3_IBX0016_3,-17.037880241268695,-0.8898084631741852
T1_IBX0017_1,-16.7882800708161,-0.7979570773032849
T2_IBX0017_2,-17.71015111659184,-0.8645783364203723
T3_IBX0017_3,-18.996896350156888,0.2449862967111125
