gene,U1_B6_NT_1,U2_B6_NT_2,U3_B6_2ng_1,U4_B6_2ng_2,U5_B6_10ng_1,U6_B6_10ng_2,U7_B6_50ng_1,U8_B6_50ng_2,U9_NTC1,V1_1h_NT_1,V2_1h_NT_2,V3_1h_2ng_1,V4_1h_2ng_2,V5_1h_10ng_1,V6_1h_10ng_2,V7_1h_50ng_1,V8_1h_50ng_2,V9_NTC2
Actb,11494,13320,14609,13609,14089,4068,4680,11970,2091,13959,6941,14391,6915,13550,9090,13931,3402,1861
Apaf1,180,97,278,250,185,55,94,361,25,173,46,427,237,268,208,349,118,34
Atf3,3409,2755,2583,2629,2148,1222,2077,3025,1097,3054,1244,3674,2325,2436,2597,5676,1975,962
Atrnl1,3,3,12,10,13,5,4,11,1,1,0,0,3,4,2,7,2,0
Bhlhe40,821,669,508,576,572,283,1261,1751,276,709,307,736,516,676,755,2448,894,206
CD68,11644,7005,10451,9796,9552,3225,4894,12105,1345,8766,2370,12583,6200,7572,7285,11115,2529,972
Ch25h,31,12,23,18,68,21,207,683,2,27,6,84,33,253,240,1297,329,5
Chac1,208,210,77,160,134,92,239,395,100,308,155,413,180,447,389,2397,515,166
Chd7,17,8,8,12,17,2,5,8,1,5,1,12,1,4,12,6,2,1
Chn2,1217,953,1063,902,616,207,285,383,132,927,293,984,558,341,356,497,98,85
Clk2,236,101,199,238,120,50,102,270,40,144,36,237,146,72,80,105,42,20
E2f8,2,0,9,7,9,1,1,5,1,13,0,27,7,3,5,9,3,0
Fabp4,1945,1535,1783,1858,1598,872,806,1517,695,2216,941,3187,2031,2490,2202,3313,1189,785
Fam49b,83,58,75,50,52,24,14,75,9,42,18,73,53,30,44,47,16,3
Fbxw7,381,243,321,324,282,113,295,440,103,247,84,435,338,272,232,735,270,90
Fzd1,7,9,24,32,182,27,72,222,7,19,2,62,11,100,79,227,48,6
Fzd7,12,8,34,37,73,22,133,353,12,43,8,127,77,284,325,1052,262,33
G6pdx,2392,1357,2527,2489,3175,1043,2575,5377,476,1221,311,2280,1237,1254,1197,2507,529,221
Gbp4,80,49,79,27,298,96,744,1352,127,72,6,56,15,266,236,1402,533,86
Gsdmd,3,2,13,6,42,10,72,128,1,10,1,21,6,20,27,68,28,1
Hspa1b,12,8,34,37,73,22,133,353,12,43,8,127,77,284,325,1052,262,33
Htr2b,1459,1202,2097,1617,4741,1912,3348,9142,913,1846,850,3560,2017,4503,4495,9712,2438,1020
Ifi205,43,25,89,75,325,108,279,1313,30,83,21,203,88,754,422,984,164,41
Ifrd1,0,1,2,7,9,2,5,6,1,7,4,6,3,4,6,11,3,2
Igfbp4,11,5,29,25,15,1,1,0,0,16,2,8,4,3,4,0,1,0
Il7r,288,134,169,182,51,33,63,173,72,210,103,366,260,175,149,307,84,110
Itgb2,5022,2844,5637,5293,5887,2192,4392,11111,1072,3641,1026,8026,4899,4646,4815,8142,1794,809
Klf4,553,379,564,569,511,247,945,1267,145,408,164,687,442,479,549,1904,540,143
Mmp13,293,190,112,130,129,49,155,280,75,261,70,192,143,369,371,879,321,86
Pcf11,69,20,33,60,34,15,45,71,3,32,8,52,22,19,50,109,32,2
Psmb10,2757,1910,3355,3226,7975,2688,5067,13487,759,2143,874,4326,2585,7411,7116,12528,2560,610
Rhob,1071,825,882,908,1086,442,692,1181,165,671,292,858,487,836,926,2449,854,120
Rnase4,2014,994,1106,935,407,122,133,354,111,1094,189,1050,562,204,156,217,44,48
Rnf213,287,169,449,369,895,304,748,3022,171,342,136,1003,481,1385,911,1974,520,220
Rsad2,1388,1352,2356,1699,6097,2925,8071,17792,1149,1656,1065,3404,1705,11824,12839,28334,5128,1332
Serpine1,8,7,9,12,51,10,480,952,12,18,3,22,21,82,76,992,235,7
Sh2d3c,254,152,207,225,128,51,83,192,53,132,31,290,170,96,99,256,83,27
Sidt2,4030,3186,3680,3169,2862,1386,2068,3098,1395,2224,1044,2701,1570,1559,1410,2047,758,784
Six1,261,236,336,295,940,291,725,1133,146,228,81,294,163,539,569,1473,540,97
Smad3,90,38,100,94,60,19,41,115,9,96,12,198,127,55,55,98,34,7
Smad7,641,386,414,378,233,104,102,186,19,570,140,465,239,377,371,1040,293,20
Smap1,31,12,33,20,30,12,15,40,2,34,9,40,19,15,18,43,10,1
Stat1,1,0,1,11,8,3,1,14,1,1,0,2,0,10,7,11,1,0
Tnfrsf12a,1459,1202,2097,1617,4741,1912,3348,9142,913,1846,850,3560,2017,4503,4495,9712,2438,1020
Tnfsf8,21,13,6,10,2,1,0,5,3,12,0,4,3,6,3,3,2,1
Wbscr27,130,82,84,84,30,7,31,31,17,58,18,79,44,19,11,21,3,10
