gene,A01_Untreated,A02_Untreated,A03_Untreated,A04_TNF alpha 10ng/ul,A05_TNF alpha 10ng/ul,A06_TNF alpha 10ng/ul,A16_Rocaglate 10nM,A17_Rocaglate 10nM,A18_Rocaglate 10nM,A19_Rocaglate 30nM,A20_Rocaglate 30nM,A21_Rocaglate 30nM,A22_Rocaglate 100nM,A23_Rocaglate 100nM,A24_Rocaglate 100nM,A28_Rocaglate 30nM (NO TNFa),A29_Rocaglate 30nM (NO TNFa),A30_Rocaglate 30nM (NO TNFa),B28_Untreated,B29_Untreated,B30_Untreated,C01_Untreated_2h,C02_Untreated_2h,C03_Untreated_2h,C04_TNF alpha 10ng/ul_2h,C05_TNF alpha 10ng/ul_2h,C06_TNF alpha 10ng/ul_2h,C16_Rocaglate 10nM_2h,C17_Rocaglate 10nM_2h,C18_Rocaglate 10nM_2h,C19_Rocaglate 30nM_2h,C20_Rocaglate 30nM_2h,C21_Rocaglate 30nM_2h,C22_Rocaglate 100nM_2h,C23_Rocaglate 100nM_2h,C24_Rocaglate 100nM_2h,C28_Rocaglate 30nM (NO TNFa)_2h,C29_Rocaglate 30nM (NO TNFa)_2h,C30_Rocaglate 30nM (NO TNFa)_2h,D28_Untreated_2h,D29_Untreated_2h,D30_Untreated_2h,E01_Untreated_6h,E02_Untreated_6h,E03_Untreated_6h,E04_TNF alpha 10ng/ul_6h,E05_TNF alpha 10ng/ul_6h,E06_TNF alpha 10ng/ul_6h,E16_Rocaglate 10nM_6h,E17_Rocaglate 10nM_6h,E18_Rocaglate 10nM_6h,E19_Rocaglate 30nM_6h,E20_Rocaglate 30nM_6h,E21_Rocaglate 30nM_6h,E22_Rocaglate 100nM_6h,E23_Rocaglate 100nM_6h,E24_Rocaglate 100nM_6h,E28_Rocaglate 30nM (NO TNFa)_6h,E29_Rocaglate 30nM (NO TNFa)_6h,E30_Rocaglate 30nM (NO TNFa)_6h,F28_Untreated_6h,F29_Untreated_6h,F30_Untreated_6h
Actb,29,2720,1598,1466,730,1387,1067,1003,1248,1168,1273,1311,915,760,954,149,182,186,297,129,114,4319,2012,5060,4849,2999,5113,1524,4451,4116,2398,241,3146,2772,3292,2744,4114,5208,4869,4666,5216,3087,5158,4236,3386,5569,4472,4301,3261,3235,3135,3705,2534,1994,2114,1795,1756,3562,3468,3796,3099,3710,2306
Apaf1,4,120,224,425,151,300,429,324,279,446,296,319,279,194,216,63,62,56,100,51,39,462,75,491,425,144,562,92,718,620,279,14,396,220,354,279,257,694,643,530,494,457,201,232,171,390,272,200,280,186,195,180,214,77,30,108,132,66,163,141,163,231,164
Atf3,33,787,1760,2709,1222,2307,2522,2090,2486,3406,3639,3220,3517,2327,3174,273,328,290,475,173,227,3915,875,3301,3411,637,3544,1774,7775,6939,5745,548,7061,6162,7367,5904,2562,3904,4372,3719,3906,3377,2162,1751,1227,2377,1983,1456,3620,2876,2440,7172,3627,1662,6140,3555,3492,3202,1365,1130,1316,1969,1784
Atrnl1,2,15,22,43,25,34,58,48,39,68,62,54,47,25,29,8,1,13,7,3,2,29,2,36,48,10,41,18,121,79,46,1,64,49,82,48,27,47,56,56,33,21,11,15,4,41,46,20,14,16,12,14,20,13,6,12,30,4,11,10,7,13,6
Bhlhe40,15,214,540,1093,481,965,1066,929,1027,1226,1619,1320,923,724,865,90,152,129,240,84,104,1220,142,1020,1289,145,1208,447,3022,2625,1339,66,1680,2340,2396,1844,955,1201,1475,1232,1202,1092,632,421,342,837,548,424,1060,734,618,2475,858,332,2568,755,869,965,309,266,299,488,462
CD68,22,2754,2522,2851,1228,2559,1888,1454,1934,2105,2373,2061,2002,1572,1848,230,226,248,337,151,155,9459,2086,9527,8217,1584,8530,1461,6613,6317,4938,315,5331,6307,6228,5302,8772,8787,9948,8072,9072,5057,8052,6606,5183,6820,5392,4765,4168,4036,3511,5395,2609,1104,4899,2360,2352,7098,5220,5265,4892,6057,4048
Ch25h,1,39,107,751,244,372,27,29,11,14,12,6,29,12,11,44,42,30,98,15,34,166,14,177,439,63,506,8,16,9,18,3,15,26,38,31,157,293,272,271,245,207,80,82,50,328,295,165,78,41,23,26,23,5,12,23,11,62,52,57,57,77,67
Chac1,2,24,189,286,134,262,216,206,85,541,712,374,410,362,312,29,55,40,170,80,96,939,121,662,463,29,457,249,1178,1171,707,34,961,1293,1033,875,349,404,617,803,815,612,105,139,66,66,57,24,136,118,83,630,136,41,1660,238,270,265,58,52,95,123,177
Chd7,0,0,1,3,0,5,2,0,1,2,2,6,4,2,2,0,0,0,0,0,0,21,1,20,19,1,23,14,37,31,23,0,34,25,34,25,5,11,19,19,15,11,2,2,1,1,2,1,1,0,1,1,1,2,1,0,4,1,2,1,0,3,2
Chn2,10,85,277,355,158,290,963,813,591,922,1215,647,849,631,508,109,147,120,244,86,103,1499,54,1019,430,54,352,304,1313,1220,755,36,794,749,648,444,975,1161,1546,1079,1298,968,444,275,224,108,128,64,340,199,168,486,170,47,452,119,93,736,276,176,181,358,421
